,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,offensegroup,LONGITUDE,END_DATE,offense-text,SHIFT,YBLOCK,DISTRICT,WARD,YEAR,offensekey,BID,sector,PSA,ucr-rank,BLOCK_GROUP,VOTING_PRECINCT,XBLOCK,BLOCK,START_DATE,CCN,OFFENSE,ANC,REPORT_DAT,METHOD,location,LATITUDE,Year
69,cluster 2,3700.0,violent,-77.0339515721209,2017-08-30T21:43:53.000,homicide,midnight,139838.0,3,1,2017,violent|homicide,,3D1,304,1,003700 2,precinct 36,397056.0,1400 - 1499 block of harvard street nw,2017-08-30T21:41:17.000,17150388,homicide,1A,2017-08-30T04:00:00.000Z,gun,"38.926421596608257,-77.033953867846037",38.9264138044148,2017
74,cluster 33,9905.0,violent,-76.9223517562471,2017-03-21T21:36:09.000,homicide,midnight,135154.0,6,7,2018,violent|homicide,,6D3,604,1,009905 2,precinct 105,406737.0,5400 - 5599 block of c street se,2017-03-21T15:00:37.000,17046092,homicide,7E,2018-01-29T05:00:00.000Z,others,"38.884205603585599,-76.922354014636653",38.8841978157506,2017
133,cluster 23,8802.0,violent,-76.9858310912059,2017-06-28T03:45:00.000,homicide,midnight,137330.0,5,5,2017,violent|homicide,,5D3,506,1,008802 3,precinct 77,401229.0,1300 - 1399 block of trinidad avenue ne,2017-06-28T03:38:02.000,17110070,homicide,5D,2017-06-28T04:00:00.000Z,others,"38.903832765443724,-76.98583337056418",38.9038249760097,2017
134,cluster 36,7502.0,violent,-76.97259128742591,2017-03-04T03:20:23.000,homicide,midnight,132035.0,7,8,2017,violent|homicide,,7D1,702,1,007502 1,precinct 115,402379.0,2700 2899  block of langston place se,2017-03-04T01:11:03.000,17036137,homicide,8B,2017-03-04T05:00:00.000Z,gun,"38.856130973403047,-76.972593559755722",38.856123193102796,2017
135,cluster 39,9807.0,violent,-77.00768185306599,2017-03-11T23:20:13.000,homicide,midnight,129224.0,7,8,2017,violent|homicide,,7D3,708,1,009807 1,precinct 124,399333.0,4000 4098  block of south capitol street,2017-03-11T23:15:50.000,17040774,homicide,8D,2017-03-11T05:00:00.000Z,others,"38.830811191925832,-77.007684134781201",38.830803418044,2017
136,cluster 34,7601.0,violent,-76.97207732135101,2017-03-10T13:12:00.000,homicide,midnight,134032.0,6,7,2017,violent|homicide,,6D2,607,1,007601 1,precinct 111,402423.0,2300 2399  block of pennsylvania avenue se,2017-03-10T11:15:54.000,17039829,homicide,7B,2017-03-10T05:00:00.000Z,gun,"38.874120656935879,-76.972079594615209",38.8741128729847,2017
139,cluster 31,7808.0,violent,-76.9236916328999,2017-10-12T01:49:16.000,homicide,midnight,136049.0,6,7,2017,violent|homicide,,6D1,608,1,007808 1,precinct 96,406620.0,200 - 299 block of 54th street ne,2017-10-12T01:25:06.000,17176761,homicide,7C,2017-10-12T04:00:00.000Z,gun,"38.892268988701801,-76.923693892197207",38.8922611992891,2017
140,cluster 39,10400.0,violent,-76.9998732881492,2017-06-12T23:35:46.000,homicide,midnight,130764.0,7,8,2017,violent|homicide,,7D2,707,1,010400 1,precinct 123,400011.0,300 - 599 block of parkland place se,2017-06-12T21:30:47.000,17100169,homicide,8C,2017-06-12T04:00:00.000Z,gun,"38.844684466261647,-76.99987556827719",38.8446766892873,2017
141,cluster 39,9804.0,violent,-76.9984565265869,2017-01-07T17:50:11.000,homicide,midnight,130213.0,7,8,2017,violent|homicide,,7D2,705,1,009804 2,precinct 122,400134.0,3301 - 3699 block of 6th street se,2017-01-07T16:13:07.000,17003930,homicide,8C,2017-01-07T05:00:00.000Z,gun,"38.839720800802816,-76.998458805972064",38.83971302477829,2017
142,cluster 28,7503.0,violent,-76.9900100454468,2017-10-08T03:50:11.000,homicide,midnight,132951.0,7,8,2017,violent|homicide,anacostia,7D1,701,1,007503 1,precinct 114,400867.0,2200 2228  block of martin luther king jr avenue se,2017-10-08T03:47:00.000,17174409,homicide,8A,2017-10-08T04:00:00.000Z,gun,"38.864385477430503,-76.990012323702629",38.8643776961115,2017
143,cluster 38,7404.0,violent,-76.9773392472054,2017-12-18T17:52:07.000,homicide,midnight,131593.0,7,8,2017,violent|homicide,,7D2,704,1,007404 1,precinct 117,401967.0,1900 - 1999 block of frederick douglass court se,2017-12-18T17:50:19.000,17217704,homicide,8E,2017-12-19T05:00:00.000Z,gun,"38.852150264523438,-76.977341520771574",38.8521424852035,2017
144,cluster 39,10900.0,violent,-77.0088902429937,2017-07-05T00:19:46.000,homicide,midnight,128424.0,7,8,2017,violent|homicide,,7D3,708,1,010900 1,precinct 126,399228.0,2 - 199 block of galveston street sw,2017-07-05T00:16:05.000,17114514,homicide,8D,2017-07-05T04:00:00.000Z,others,"38.823604329686077,-77.008892524647081",38.8235965573052,2017
145,cluster 4,202.0,violent,-77.06934613605941,2017-07-08T03:00:14.000,homicide,midnight,137370.0,2,2,2017,violent|homicide,georgetown,2D3,206,1,000202 4,precinct 6,393985.0,3400 - 3599 block of water street nw,2017-07-08T02:51:13.000,17116708,homicide,2E,2017-07-08T04:00:00.000Z,gun,"38.904173375103646,-77.069348441444333",38.904165588716005,2017
146,cluster 39,9803.0,violent,-77.0017621984942,2017-03-01T00:36:03.000,homicide,midnight,129648.0,7,8,2017,violent|homicide,,7D2,707,1,009803 2,precinct 124,399847.0,200 - 299 block of wayne place se,2017-03-01T00:34:29.000,17034222,homicide,8C,2017-07-22T04:00:00.000Z,gun,"38.834631019808796,-77.001764478598957",38.8346232449352,2017
147,cluster 31,7807.0,violent,-76.9229533236416,2017-12-28T11:23:03.000,homicide,midnight,137294.0,6,7,2017,violent|homicide,,6D1,608,1,007807 2,precinct 95,406683.0,934 - 1099 block of eastern avenue ne,2017-12-28T11:20:09.000,17222616,homicide,7C,2017-12-28T05:00:00.000Z,gun,"38.903483920886075,-76.922955583391357",38.903476129183,2017
148,cluster 37,7406.0,violent,-76.98843312547659,2017-11-23T21:21:35.000,homicide,midnight,131818.0,7,8,2017,violent|homicide,,7D1,703,1,007406 2,precinct 118,401004.0,2400 - 2599 block of elvans road se,2017-11-23T19:09:55.000,17202849,homicide,8B,2017-11-23T05:00:00.000Z,gun,"38.854178787790651,-76.988435402620382",38.8541710084736,2017
149,cluster 18,2102.0,violent,-77.0134979754686,2017-09-24T23:07:37.000,homicide,midnight,142766.0,4,4,2017,violent|homicide,,4D2,403,1,002102 4,precinct 57,398830.0,5100  - 5199 block of 2nd street nw,2017-09-24T23:00:50.000,17166310,homicide,4D,2017-11-13T05:00:00.000Z,gun,"38.952802035105812,-77.013500266437873",38.952794236833896,2017
150,cluster 36,7502.0,violent,-76.9656916476395,2017-11-18T23:49:46.000,homicide,midnight,131688.0,7,8,2017,violent|homicide,,7D1,702,1,007502 2,precinct 115,402978.0,2966 - 3031 block of 30th street se,2017-11-18T23:43:26.000,17200147,homicide,8B,2017-11-19T05:00:00.000Z,gun,"38.853003224318243,-76.965693917630716",38.8529954443932,2017
